carte,qt voulue,qt dispo,prix
"Bi'an, Earth of the Yang Zing",1,0,0
"Jiaotu, Darkness of the Yang Zing",2,0,0
"Chiwen, Light of the Yang Zing",1,0,0
Nine Pillars of Yang Zing,1,1,0.99
"Denglong, First of the Yang Zing",1,0,0
Herald of the Arc Light,1,1,4.99
swordsoul strategist longyuan,1,1,3.99
"Sacred Tree Beast, Hyperyton",1,1,0.49
Rikka Queen Strenna,1,0,0
Gallant Granite,1,1,3.99
Foolish Burial,1,1,0.49
Time-Space Trap Hole,1,1,4.99
Break Off Trap Hole,1,1,0.49
Accesscode Talker,1,0,0
Baronne de Fleur,1,0,0
,,total :,0
